ENLIGHTEN Version,2.2.7
Measurement ID,20210317-132409-250580-WP-00532
Serial Number,WP-00532
Model,WP-532-R-SR-S
Label,13:24:09 WP-00532
Declared Match,
Declared Score,0
Scan Averaging,15
Boxcar,0
Technique,Scope
Baseline Correction Algo,
ROI Pixel Start,1023
ROI Pixel End,1023
Slit Width,50
Vignetted,False
Interpolated,False
Raman Intensity Corrected,False
Deconvolved,False
Integration Time,2
Timestamp,2021-03-17 13:24:09.250580
Note,
Temperature,9.942695953194743
CCD C0,534.4705200195312
CCD C1,0.12332911789417267
CCD C2,-1.4740236110810656e-05
CCD C3,-2.6965287780456038e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,532.0
Laser Enable,False
Laser Power,100
Laser Temperature,0
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
497,591.79,1899.19,13.80,948.20,934.40
498,591.90,1902.24,9.87,948.00,938.13
499,592.01,1905.28,9.00,944.47,935.47
500,592.11,1908.32,8.07,945.67,937.60
501,592.22,1911.36,8.93,947.07,938.13
502,592.33,1914.40,8.60,945.13,936.53
503,592.43,1917.43,4.93,944.07,939.13
504,592.54,1920.46,5.60,942.60,937.00
505,592.65,1923.49,6.07,944.53,938.47
506,592.75,1926.52,9.93,945.93,936.00
507,592.86,1929.55,8.60,946.20,937.60
508,592.96,1932.57,8.47,945.07,936.60
509,593.07,1935.59,3.87,946.33,942.47
510,593.18,1938.61,5.40,945.80,940.40
511,593.28,1941.63,5.13,944.33,939.20
512,593.39,1944.64,11.47,950.60,939.13
513,593.50,1947.65,11.07,949.13,938.07
514,593.60,1950.67,8.60,949.93,941.33
515,593.71,1953.67,13.13,951.87,938.73
516,593.81,1956.68,18.67,957.13,938.47
517,593.92,1959.68,89.07,1026.13,937.07
518,594.03,1962.69,667.00,1603.67,936.67
519,594.13,1965.69,1844.53,2780.73,936.20
